accuracy,precision,recall,f1,roc_auc,bootstrap
0.807142857142857,0.8164639249639251,0.87,0.8345825253178194,0.9030654761904762,231
0.8020952380952382,0.8376320346320347,0.8175,0.820668178742482,0.9116071428571427,232
0.8225714285714286,0.8376962481962482,0.87,0.8468834208447211,0.9225892857142857,233
0.7428571428571429,0.7558623043623043,0.83,0.7843601670087736,0.8510714285714286,234
0.8521904761904762,0.8481738816738817,0.9125,0.8736163202122954,0.9385119047619048,235
0.8239047619047618,0.8736883116883116,0.815,0.8376086067355415,0.9269345238095237,236
0.7897142857142857,0.807562049062049,0.8325,0.8136491473782494,0.8941964285714284,237
0.8454285714285714,0.8901565656565658,0.8375,0.8561327394655567,0.9341071428571429,238
0.7764761904761904,0.782,0.86,0.8122928131380143,0.8986011904761905,239
0.8733333333333334,0.894616883116883,0.895,0.8895623882481465,0.9561309523809524,240
0.7867619047619047,0.7894992784992785,0.865,0.8197644374888956,0.8883928571428571,241
0.8007619047619045,0.8198351093351093,0.8425,0.8225964779974066,0.9008035714285714,242
0.8239047619047619,0.8515072150072149,0.8525,0.8418348794308546,0.9278869047619048,243
0.8118095238095239,0.8528282828282827,0.825,0.8303285702945145,0.913125,244
0.8682857142857142,0.8809718614718614,0.9,0.8846613347093222,0.9502380952380952,245
0.7662857142857142,0.7664750804750805,0.8575,0.8013670942061034,0.8795238095238095,246
0.8686666666666666,0.9135613275613275,0.86,0.8779605423815948,0.9570535714285714,247
0.8387619047619047,0.8529877344877344,0.885,0.859606030536371,0.9201785714285714,248
0.8009523809523807,0.8347835497835497,0.8375,0.8233606977817505,0.9136904761904764,249
0.7773333333333333,0.805598124098124,0.8275,0.8055916771566927,0.9038095238095238,250
0.8047619047619047,0.8302121212121212,0.84,0.8275105675198553,0.9125297619047621,251
0.8229523809523809,0.8589476634476634,0.8375,0.8396326619716712,0.9299404761904764,252
0.8066666666666665,0.858553391053391,0.805,0.8228251908050669,0.9229464285714286,253
0.8550476190476191,0.8783643578643578,0.8775,0.8703664459035976,0.9413690476190476,254
0.8296190476190478,0.8602279942279941,0.8525,0.8480414157565859,0.9354166666666666,255
0.8013333333333332,0.8225216450216449,0.8375,0.8239527495208608,0.9104464285714288,256
0.821142857142857,0.8247366522366523,0.8875,0.8479035087719298,0.9408333333333334,257
0.8046666666666666,0.8187295482295481,0.865,0.8332106756332762,0.9266369047619049,258
0.8195238095238095,0.8701031746031747,0.8225,0.8343673424958253,0.9264583333333333,259
0.8446666666666666,0.8895851370851371,0.8525,0.8620047498081553,0.9292857142857145,260
0.8381904761904763,0.8932380952380952,0.8275,0.8493889248006894,0.9401785714285714,261
0.795142857142857,0.8161233766233766,0.8475,0.8213466981934475,0.8807142857142857,262
0.7939047619047618,0.8147303807303807,0.845,0.8203866907086721,0.9064583333333333,263
0.7911428571428573,0.7985288600288601,0.8675,0.8232923504084494,0.9128273809523809,264
0.7928571428571428,0.8152056277056277,0.85,0.8220393155176435,0.9071428571428573,265
0.7983809523809523,0.8361803751803751,0.8225,0.8167194116513002,0.8885714285714285,266
0.8295238095238093,0.8292474747474747,0.8875,0.8533194997297163,0.9265476190476192,267
0.766095238095238,0.8038073593073592,0.805,0.7888728105399931,0.883452380952381,268
0.7650476190476191,0.77854218004218,0.845,0.7999125375828163,0.8929166666666667,269
0.8667619047619047,0.8807380952380952,0.895,0.8821012353659412,0.9514880952380952,270
0.7601904761904763,0.8007582972582972,0.7975,0.7835592242295029,0.9026190476190474,271
0.8746666666666666,0.9086443001443001,0.8775,0.8864015941059284,0.963392857142857,272
0.85,0.8467438672438672,0.9,0.8682076514816451,0.9417857142857143,273
0.8270476190476191,0.8638333333333332,0.84,0.8428594053005817,0.9322619047619046,274
0.740952380952381,0.7682092352092351,0.8075,0.774622721963279,0.8783630952380953,275
0.8143809523809523,0.8753708513708512,0.795,0.8264937607971662,0.933422619047619,276
0.8513333333333333,0.8579300144300143,0.8975,0.870257731432654,0.9355654761904764,277
0.771809523809524,0.8022251082251082,0.8,0.7935625715873393,0.8822916666666666,278
0.7437142857142857,0.7705497835497837,0.805,0.7784927174648536,0.8428869047619049,279
0.8007619047619048,0.8020028860028857,0.8775,0.8301731515818201,0.9175,280
0.7997142857142856,0.8133975468975468,0.86,0.8289032403784725,0.9022321428571429,281
0.8284761904761904,0.8362763347763347,0.8925,0.8549140135750042,0.9189583333333333,282
0.8449523809523808,0.8767647907647906,0.8575,0.8593048685061069,0.9415178571428571,283
0.8315238095238097,0.8516392496392495,0.87,0.8510761745993943,0.9380952380952381,284
0.7998095238095239,0.8047064602064603,0.88,0.8326316035186003,0.9086904761904762,285
0.8490476190476192,0.863923520923521,0.8875,0.8684617312512047,0.9405654761904764,286
0.8370476190476189,0.8569639249639249,0.8725,0.8558202444270556,0.9384821428571428,287
0.7955238095238095,0.8145714285714285,0.845,0.8227785678373912,0.8990178571428571,288
0.8263809523809523,0.8208372738372737,0.9125,0.8553606603235084,0.9238988095238095,289
0.8739999999999999,0.8743528138528138,0.92,0.8908994299474177,0.9547321428571428,290
0.8958095238095238,0.928404761904762,0.8925,0.9048724771960066,0.9640178571428573,291
0.7287619047619047,0.7525851370851372,0.79,0.7622274558946386,0.8589285714285715,292
0.7840952380952382,0.7973556998556998,0.845,0.8126162068066093,0.8843154761904762,293
0.809047619047619,0.8082990342990343,0.8875,0.8396916801808442,0.9075,294
0.7556190476190474,0.7929956709956708,0.7975,0.7815625805223327,0.8677380952380953,295
0.8566666666666666,0.8825670995670996,0.8775,0.872291217898029,0.9428571428571427,296
0.7504761904761906,0.7906002886002886,0.785,0.7780682362013631,0.8794047619047619,297
0.785142857142857,0.8214559884559886,0.8175,0.8083295651716703,0.9052976190476191,298
0.7624761904761905,0.765950937950938,0.8475,0.7998973413926974,0.8908333333333335,299
0.7731428571428571,0.8229740259740259,0.7825,0.7869101359596713,0.8828273809523809,300
0.834857142857143,0.8490346320346319,0.8775,0.8550703720084524,0.9295238095238096,301
0.8458095238095237,0.8834343434343433,0.8525,0.8602377814823634,0.9438988095238094,302
0.7838095238095238,0.7976421356421356,0.8475,0.8146484348125215,0.9030952380952381,303
0.8237142857142858,0.8312330447330447,0.89,0.8526075501725654,0.9322023809523811,304
0.7644761904761905,0.8104321789321787,0.7825,0.7835617878853172,0.8816964285714285,305
0.8029523809523811,0.8100829725829725,0.8525,0.8251040553873371,0.9135119047619048,306
0.8255238095238095,0.8406637806637807,0.8675,0.8476485708993446,0.9284226190476191,307
0.8208571428571427,0.8497835497835495,0.8425,0.8404541141692843,0.9297321428571429,308
0.7839047619047621,0.8197016317016318,0.8175,0.8091746069547926,0.9254166666666667,309
0.7525714285714286,0.7808682983682984,0.8075,0.7836068583978799,0.8654761904761905,310
0.8478095238095237,0.8561435786435786,0.8925,0.8676679462608254,0.9226785714285716,311
0.7802857142857142,0.8022222222222222,0.825,0.8041774702765414,0.8868452380952381,312
0.844095238095238,0.8626168831168832,0.8775,0.8629694125963476,0.953452380952381,313
0.784952380952381,0.8396825396825396,0.7925,0.8004221079917674,0.9019345238095241,314
0.778952380952381,0.8038802308802309,0.8225,0.8068753520301507,0.9188095238095237,315
0.8406666666666667,0.8968311688311688,0.82,0.8478971939653053,0.9378273809523808,316
0.8352380952380953,0.8540007215007215,0.875,0.8563129940235201,0.9384226190476191,317
0.8422857142857143,0.8520598845598845,0.8875,0.8629319887199144,0.9196130952380952,318
0.746095238095238,0.7891399711399711,0.7675,0.7666300933328798,0.8866071428571428,319
0.7798095238095237,0.8013059163059164,0.8325,0.8049301572180828,0.8805357142857143,320
0.8666666666666667,0.8648441558441559,0.925,0.886301859475234,0.9603869047619047,321
0.7618095238095237,0.7673401598401598,0.8475,0.798511423732786,0.889702380952381,322
0.8123809523809523,0.8518845598845598,0.8275,0.8291008070017356,0.9199702380952379,323
0.8127619047619047,0.8117586302586303,0.8975,0.8439779104624304,0.8902083333333333,324
0.7892380952380951,0.8029718614718615,0.85,0.816646070303965,0.8889285714285714,325
0.8463809523809523,0.8400194805194804,0.9125,0.8705100742051206,0.9200297619047619,326
